roi,band,contrast,Hilbert,IRASA,Residual
R_DLPFC,theta,TS->ESS1,0.6049662733637462,0.20714698043062615,0.44746556193098647
R_DLPFC,theta,WS->ESS1,0.5513119553080942,0.231776268085302,0.6354055625489271
R_DLPFC,theta,WS->LSS1,1.5330016856389241,0.9229357731624532,1.0843767907392787
R_DLPFC,theta,WS->TS,0.22695757793514268,0.10868547600719287,0.3392394222438527
R_STG,alpha1,ESS1->LSS1,0.390891153974719,0.04907701913144246,-0.5882420751368108
R_STG,alpha1,TS->ESS1,-1.615609795243032,-1.3717609870605174,-2.1656895923789836
R_STG,alpha1,WS->ESS1,-2.2811818420233556,-1.973967051769121,-2.666968005606948
R_STG,alpha1,WS->LSS1,-1.972289161791295,-1.858923989330334,-2.949426225097389
R_STG,alpha1,WS->TS,-1.2699880553431364,-1.0339157721314756,-0.9915239427962282
R_STG,alpha2,ESS1->LSS1,0.3308865578515576,0.22458647704035406,-0.3551218420144007
