roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi,band,metric_type
R_STG,theta_peak_height_log10,TS->ESS1,TS → ESS1,61,0.4482074658861659,0.0008822298511069819,***,0.08141294574422459,0.03489247216822389,0.12793341932022528,theta,peak_height
R_STG,theta_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,0.731471798335834,3.6844268222296715e-07,***,0.11895816649153361,0.07730707185423563,0.1606092611288316,theta,peak_height
R_STG,theta_peak_height_log10,WS->ESS1,WS → ESS1,61,0.5997038899437532,1.6583338137395312e-05,***,0.1299501018795835,0.07445310240233052,0.18544710135683648,theta,peak_height
R_STG,theta_peak_height_log10,WS->LSS1,WS → LSS1,61,1.0977128263621894,5.186449900489051e-12,***,0.2489082683711171,0.19083445704928265,0.30698207969295155,theta,peak_height
SPG,alpha1_peak_height_log10,WS->TS,WS → TS,61,-0.8220708590698105,2.4126989358535935e-08,***,-0.18984468434530402,-0.24898980641130963,-0.1306995622792984,alpha1,peak_height
SPG,alpha1_peak_height_log10,TS->ESS1,TS → ESS1,61,-1.900936991965357,9.362173518351947e-22,***,-0.6180168755899114,-0.701281850707888,-0.5347519004719348,alpha1,peak_height
SPG,alpha1_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.495423039013065,0.00027150247315015037,***,-0.08725636400701725,-0.1323640613100459,-0.04214866670398858,alpha1,peak_height
SPG,alpha1_peak_height_log10,WS->ESS1,WS → ESS1,61,-2.3252353197561035,4.624198289335624e-26,***,-0.8078615599352151,-0.8968430711334576,-0.7188800487369726,alpha1,peak_height
SPG,alpha1_peak_height_log10,WS->LSS1,WS → LSS1,61,-2.6448136358099474,5.826554813751155e-29,***,-0.8951179239422326,-0.981797129622435,-0.8084387182620301,alpha1,peak_height
SPG,alpha2_peak_height_log10,WS->TS,WS → TS,61,-0.4811411047074145,0.0003902871480322232,***,-0.12851967322066163,-0.19693082403353473,-0.06010852240778851,alpha2,peak_height
SPG,alpha2_peak_height_log10,TS->ESS1,TS → ESS1,61,-1.4722982707439716,8.303414326576092e-17,***,-0.4726812454033081,-0.5549059484478777,-0.39045654235873856,alpha2,peak_height
