roi,band,metric_type,contrast,contrast_label,n_full,full_dz,half_dz_mean,half_dz_sd,ci95_lo,ci95_hi,dir_agree_pct,reliable,n_valid_iters
L_DLPFC,alpha1,peak_height,TS->ESS1,TS → ESS1,61,-2.0294,-2.0616,0.2306,-2.5993,-1.6859,100.0,True,1000
L_DLPFC,alpha1,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.6115,-0.6093,0.1454,-0.9491,-0.3644,100.0,True,1000
L_DLPFC,alpha1,peak_height,WS->ESS1,WS → ESS1,61,-2.7604,-2.8049,0.3552,-3.6016,-2.2718,100.0,True,1000
L_DLPFC,alpha1,peak_height,WS->LSS1,WS → LSS1,61,-2.8168,-2.8601,0.322,-3.5655,-2.3419,100.0,True,1000
L_DLPFC,alpha2,band_power,WS->TS,WS → TS,61,-0.8524,-0.8758,0.1572,-1.2556,-0.6232,100.0,True,1000
L_DLPFC,alpha2,band_power,TS->ESS1,TS → ESS1,61,-2.0536,-2.0644,0.2066,-2.5222,-1.7221,100.0,True,1000
L_DLPFC,alpha2,band_power,ESS1->LSS1,ESS1 → LSS1,61,-0.0001,-0.0082,0.1337,-0.2776,0.2421,52.3,False,1000
L_DLPFC,alpha2,band_power,WS->ESS1,WS → ESS1,61,-2.1153,-2.1357,0.1976,-2.572,-1.8004,100.0,True,1000
L_DLPFC,alpha2,band_power,WS->LSS1,WS → LSS1,61,-2.2468,-2.2642,0.2213,-2.7647,-1.9106,100.0,True,1000
L_DLPFC,alpha2,peak_height,WS->TS,WS → TS,61,-0.384,-0.3858,0.124,-0.6383,-0.15,99.8,True,1000
L_DLPFC,alpha2,peak_height,TS->ESS1,TS → ESS1,61,-1.7807,-1.8007,0.1805,-2.2068,-1.4987,100.0,True,1000
L_DLPFC,alpha2,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.3238,-0.3264,0.1527,-0.6885,-0.0684,99.4,True,1000
L_DLPFC,alpha2,peak_height,WS->ESS1,WS → ESS1,61,-1.905,-1.9124,0.1983,-2.359,-1.5874,100.0,True,1000
L_DLPFC,alpha2,peak_height,WS->LSS1,WS → LSS1,61,-1.971,-1.9988,0.2073,-2.4506,-1.6558,100.0,True,1000
L_DLPFC,beta1,band_power,WS->TS,WS → TS,61,-0.9626,-0.9995,0.1954,-1.4418,-0.6842,100.0,True,1000
L_DLPFC,beta1,band_power,TS->ESS1,TS → ESS1,61,-0.9307,-0.9315,0.143,-1.2463,-0.6782,100.0,True,1000
L_DLPFC,beta1,band_power,ESS1->LSS1,ESS1 → LSS1,61,0.5423,0.5467,0.1275,0.3047,0.8172,100.0,True,1000
L_DLPFC,beta1,band_power,WS->ESS1,WS → ESS1,61,-1.4285,-1.4376,0.1613,-1.7852,-1.156,100.0,True,1000
L_DLPFC,beta1,band_power,WS->LSS1,WS → LSS1,61,-0.793,-0.7986,0.1414,-1.086,-0.5386,100.0,True,1000
L_DLPFC,beta1,peak_height,WS->TS,WS → TS,61,-0.2191,-0.2198,0.127,-0.4582,0.0255,95.9,True,1000
L_DLPFC,beta1,peak_height,TS->ESS1,TS → ESS1,61,-0.0543,-0.0573,0.131,-0.3046,0.203,66.6,False,1000
L_DLPFC,beta1,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.4067,0.4108,0.1245,0.1673,0.67,100.0,True,1000
L_DLPFC,beta1,peak_height,WS->ESS1,WS → ESS1,61,-0.2122,-0.2184,0.1245,-0.4556,0.0429,96.2,True,1000
L_DLPFC,beta1,peak_height,WS->LSS1,WS → LSS1,61,0.0938,0.0977,0.1397,-0.1579,0.3754,76.5,False,1000
L_DLPFC,beta2,band_power,WS->TS,WS → TS,61,-1.6786,-1.7092,0.1888,-2.1384,-1.4105,100.0,True,1000
L_DLPFC,beta2,band_power,TS->ESS1,TS → ESS1,61,-1.6667,-1.6856,0.2116,-2.1352,-1.336,100.0,True,1000
L_DLPFC,beta2,band_power,ESS1->LSS1,ESS1 → LSS1,61,-0.3767,-0.38,0.1395,-0.6584,-0.1358,99.9,True,1000
L_DLPFC,beta2,band_power,WS->ESS1,WS → ESS1,61,-2.4088,-2.4292,0.2936,-3.0672,-1.9839,100.0,True,1000
L_DLPFC,beta2,band_power,WS->LSS1,WS → LSS1,61,-2.8408,-2.873,0.3025,-3.5598,-2.3647,100.0,True,1000
L_DLPFC,beta2,peak_height,WS->TS,WS → TS,61,-0.7539,-0.7594,0.1418,-1.0734,-0.521,100.0,True,1000
L_DLPFC,beta2,peak_height,TS->ESS1,TS → ESS1,61,-0.6642,-0.6712,0.1288,-0.9478,-0.4441,100.0,True,1000
L_DLPFC,beta2,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.1337,-0.1358,0.1398,-0.4066,0.1414,83.4,False,1000
