roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi
Occipital,beta3_peak_cf_hz,WS->TS,WS → TS,61,0.23299329689084994,0.0737888437547568,ns,0.6270491803278688,-0.06221851164456116,1.3163168723002987
Occipital,beta3_peak_cf_hz,TS->ESS1,TS → ESS1,61,0.12318997959836482,0.33983868258653266,ns,0.3770491803278688,-0.4068358344356757,1.1609341950914134
Occipital,beta3_peak_cf_hz,ESS1->LSS1,ESS1 → LSS1,61,0.21892342536758758,0.09246155133252518,ns,0.5573770491803278,-0.09468149786989632,1.209435596230552
Occipital,beta3_peak_cf_hz,WS->ESS1,WS → ESS1,61,0.38309370382349556,0.004017519640542846,**,1.0040983606557377,0.33282256467535953,1.6753741566361158
Occipital,beta3_peak_cf_hz,WS->LSS1,WS → LSS1,61,0.568070977696909,3.968754918136205e-05,***,1.5614754098360655,0.8574922152518728,2.265458604420258
Occipital,beta3_peak_height_log10,WS->TS,WS → TS,61,0.30139488170312956,0.021866444663198998,*,0.02867830588165922,0.004308764039637002,0.053047847723681436
Occipital,beta3_peak_height_log10,TS->ESS1,TS → ESS1,61,0.38079334446028856,0.004227799995801255,**,0.041177856509414454,0.013482680384820624,0.06887303263400829
Occipital,beta3_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.2454000258765651,0.06005061519404181,ns,-0.02083579334315319,-0.042581082231271675,0.0009094955449652949
Occipital,beta3_peak_height_log10,WS->ESS1,WS → ESS1,61,0.6108114898693973,1.215269793083459e-05,***,0.06985616239107369,0.04056562968291852,0.09914669509922885
Occipital,beta3_peak_height_log10,WS->LSS1,WS → LSS1,61,0.35964042375746996,0.006700263769024663,**,0.04902036904792049,0.01411133592108433,0.08392940217475664
Occipital,beta3_peak_power_log10,WS->TS,WS → TS,61,-0.5176008503477317,0.00015294250599126927,***,-0.0802159321587907,-0.11990723897431466,-0.040524625343266764
Occipital,beta3_peak_power_log10,TS->ESS1,TS → ESS1,61,-0.6013056675171096,1.5858548348032128e-05,***,-0.11109041744112838,-0.1584067467863545,-0.06377408809590226
Occipital,beta3_peak_power_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.6356359686757234,6.020745382912714e-06,***,-0.11514426635042015,-0.16153845637264766,-0.06875007632819263
Occipital,beta3_peak_power_log10,WS->ESS1,WS → ESS1,61,-0.9870378000438393,1.5383527682286035e-10,***,-0.19130634959991907,-0.24094561484218474,-0.1416670843576534
Occipital,beta3_peak_power_log10,WS->LSS1,WS → LSS1,61,-1.3891392202313384,8.912973443057768e-16,***,-0.30645061595033923,-0.3629500984594805,-0.24995113344119796
Occipital,beta3_peak_present,WS->TS,WS → TS,61,0.0,1.0,ns,0.0,-0.06612780618281469,0.06612780618281469
Occipital,beta3_peak_present,TS->ESS1,TS → ESS1,61,0.32757065425956844,0.013057266593788409,*,0.09836065573770492,0.021457144026916647,0.17526416744849319
Occipital,beta3_peak_present,ESS1->LSS1,ESS1 → LSS1,61,,,ns,0.0,0.0,0.0
Occipital,beta3_peak_present,WS->ESS1,WS → ESS1,61,0.32757065425956844,0.013057266593788409,*,0.09836065573770492,0.021457144026916647,0.17526416744849319
Occipital,beta3_peak_present,WS->LSS1,WS → LSS1,61,0.32757065425956844,0.013057266593788409,*,0.09836065573770492,0.021457144026916647,0.17526416744849319
Occipital,delta_peak_cf_hz,WS->TS,WS → TS,61,0.25471685701076185,0.051221150656584655,ns,0.27049180327868855,-0.00148143139209983,0.5424650379494769
Occipital,delta_peak_cf_hz,TS->ESS1,TS → ESS1,61,0.18341690950486464,0.15718136836593086,ns,0.19262295081967212,-0.07634368111836687,0.4615895827577111
Occipital,delta_peak_cf_hz,ESS1->LSS1,ESS1 → LSS1,61,0.6065248713916372,1.3705158097134449e-05,***,0.8155737704918032,0.4711886490674557,1.1599588919161508
Occipital,delta_peak_cf_hz,WS->ESS1,WS → ESS1,61,0.3917428100257315,0.0033109301950663256,**,0.46311475409836067,0.16034162621731468,0.7658878819794066
Occipital,delta_peak_cf_hz,WS->LSS1,WS → LSS1,61,1.2110681316274134,1.6827455466673877e-13,***,1.278688524590164,1.0082765396282405,1.5491005095520876
Occipital,delta_peak_height_log10,WS->TS,WS → TS,61,-0.12398021838542286,0.33677352362620216,ns,-0.02401517574542951,-0.07362447776625256,0.02559412627539353
Occipital,delta_peak_height_log10,TS->ESS1,TS → ESS1,61,0.4735356624763673,0.00047244220854146014,***,0.0742178935787818,0.034077125615697354,0.11435866154186623
Occipital,delta_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.039405326878776854,0.7593266581408021,ns,-0.006692769849635054,-0.05019191286230276,0.03680637316303266
Occipital,delta_peak_height_log10,WS->ESS1,WS → ESS1,61,0.2335506696623481,0.07311943657516261,ns,0.05020271783335228,-0.0048496314911340085,0.10525506715783856
Occipital,delta_peak_height_log10,WS->LSS1,WS → LSS1,61,0.17506410512486087,0.17663363515066138,ns,0.04350994798371725,-0.020143392567794745,0.10716328853522925
Occipital,delta_peak_power_log10,WS->TS,WS → TS,61,-0.4589248861738171,0.000678861254237932,***,-0.2475702756189263,-0.3857316471605967,-0.10940890407725593
Occipital,delta_peak_power_log10,TS->ESS1,TS → ESS1,61,0.022352074518417604,0.8620011154624929,ns,0.00918156876368732,-0.09602159465079323,0.11438473217816787
Occipital,delta_peak_power_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.10816978470004093,0.4015603279174754,ns,-0.06077503250077958,-0.20467111778363017,0.08312105278207103
Occipital,delta_peak_power_log10,WS->ESS1,WS → ESS1,61,-0.44459865378542424,0.0009628815590029666,***,-0.23838870685523902,-0.3757129705261593,-0.10106444318431873
Occipital,delta_peak_power_log10,WS->LSS1,WS → LSS1,61,-0.5800128791955236,2.861358370307443e-05,***,-0.2991637393560186,-0.4312632048552354,-0.16706427385680175
Occipital,delta_peak_present,WS->TS,WS → TS,61,-0.02772079766079648,0.8293275218839355,ns,-0.01639344262295082,-0.16785212931139087,0.13506524406548925
Occipital,delta_peak_present,TS->ESS1,TS → ESS1,61,0.6416714734443577,5.0680140033839334e-06,***,0.29508196721311475,0.1773051856893569,0.41285874873687256
Occipital,delta_peak_present,ESS1->LSS1,ESS1 → LSS1,61,0.0,1.0,ns,0.0,-0.08098969147877932,0.08098969147877932
Occipital,delta_peak_present,WS->ESS1,WS → ESS1,61,0.5716102432682234,3.603083770001236e-05,***,0.2786885245901639,0.15382119379824294,0.4035558553820849
Occipital,delta_peak_present,WS->LSS1,WS → LSS1,61,0.6164655758915614,1.0365575959471305e-05,***,0.2786885245901639,0.16290680356381598,0.39447024561651184
Occipital,log10_power_alpha1,WS->TS,WS → TS,61,-1.2325835570028958,8.841611352242421e-14,***,-0.23433708496341818,-0.2830287244636597,-0.18564544546317668
Occipital,log10_power_alpha1,TS->ESS1,TS → ESS1,61,-1.7312152847828752,7.181757821465094e-20,***,-0.5830332289705702,-0.6692857850346602,-0.4967806729064802
