roi,method,band,contrast,n,dz,p,stars,mean_delta
L_DLPFC,Residual,alpha1,WS->TS,61,-0.8500363456604152,1.0292907753005289e-08,***,-0.19713973934611048
L_DLPFC,Residual,alpha1,TS->ESS1,61,-2.0293658541219988,4.059811367000868e-23,***,-0.5808697160581149
L_DLPFC,Residual,alpha1,ESS1->LSS1,61,-0.6115430184237474,1.1905528769743017e-05,***,-0.1103528544068519
L_DLPFC,Residual,alpha1,WS->ESS1,61,-2.7604274277046255,6.036783195017579e-30,***,-0.7780094554042253
L_DLPFC,Residual,alpha1,WS->LSS1,61,-2.8168004206550297,2.0522404102269167e-30,***,-0.888362309811077
L_DLPFC,Residual,alpha2,WS->TS,61,-0.3840046885939728,0.003936967635262822,**,-0.09432813898503692
L_DLPFC,Residual,alpha2,TS->ESS1,61,-1.7807132856860781,1.9792911056685205e-20,***,-0.5299474351159261
L_DLPFC,Residual,alpha2,ESS1->LSS1,61,-0.3238132674829168,0.014083313167714853,*,-0.06495405612482681
L_DLPFC,Residual,alpha2,WS->ESS1,61,-1.9049616121450892,8.469344159431603e-22,***,-0.6242755741009631
L_DLPFC,Residual,alpha2,WS->LSS1,61,-1.9710276608874038,1.663189516845494e-22,***,-0.6892296302257899
L_DLPFC,Residual,beta1,WS->TS,61,-0.21905337892385693,0.09227274219493421,ns,-0.03555215900454337
L_DLPFC,Residual,beta1,TS->ESS1,61,-0.05432134995806563,0.6728911682757684,ns,-0.00711806584277056
L_DLPFC,Residual,beta1,ESS1->LSS1,61,0.40670220115006134,0.002355487277749727,**,0.06457730066082465
L_DLPFC,Residual,beta1,WS->ESS1,61,-0.21219039948852314,0.10268731253376076,ns,-0.04267022484731391
L_DLPFC,Residual,beta1,WS->LSS1,61,0.09383674534400617,0.4664801819737175,ns,0.02190707581351071
L_DLPFC,Residual,beta2,WS->TS,61,-0.7539370596695386,1.8855249097952882e-07,***,-0.10734217185308881
L_DLPFC,Residual,beta2,TS->ESS1,61,-0.6641629169903022,2.654365603887924e-06,***,-0.08478433825196366
L_DLPFC,Residual,beta2,ESS1->LSS1,61,-0.1337477964626132,0.30039659348195796,ns,-0.013060555586142265
L_DLPFC,Residual,beta2,WS->ESS1,61,-1.2707139603718731,2.8447485241005905e-14,***,-0.19212651010505247
L_DLPFC,Residual,beta2,WS->LSS1,61,-1.2642834501250388,3.442204985912852e-14,***,-0.20518706569119471
L_DLPFC,Residual,beta3,WS->TS,61,0.17957291891455832,0.16591632149304558,ns,0.025095263595391618
L_DLPFC,Residual,beta3,TS->ESS1,61,-0.09621000214290167,0.45533479678916483,ns,-0.01042752093807317
L_DLPFC,Residual,beta3,ESS1->LSS1,61,-0.4172966499802211,0.0018426259658706685,**,-0.03176199970688235
L_DLPFC,Residual,beta3,WS->ESS1,61,0.10826398905741812,0.401152862947867,ns,0.01466774265731845
L_DLPFC,Residual,beta3,WS->LSS1,61,-0.10990446817680471,0.39409811951805535,ns,-0.017094257049563903
L_DLPFC,IRASA,delta,WS->TS,61,-0.14970386329704213,0.24693731292892096,ns,-0.061688070718700715
L_DLPFC,IRASA,delta,TS->ESS1,61,0.29879598682772684,0.022981209672679425,*,0.10538293154334194
L_DLPFC,IRASA,delta,ESS1->LSS1,61,0.6951584258528959,1.076333739779762e-06,***,0.3050846522813165
L_DLPFC,IRASA,delta,WS->ESS1,61,0.09461896216871486,0.4627896493448294,ns,0.04369486082464123
L_DLPFC,IRASA,delta,WS->LSS1,61,0.7566118088128113,1.7404488062592872e-07,***,0.34877951310595773
L_DLPFC,IRASA,theta,WS->TS,61,-0.07732182722502204,0.5481848706387159,ns,-0.01922602635232284
L_DLPFC,IRASA,theta,TS->ESS1,61,0.26762615945868135,0.04084315321634679,*,0.06372860928213431
L_DLPFC,IRASA,theta,ESS1->LSS1,61,0.6000039159431169,1.644516058297617e-05,***,0.2335336122819659
L_DLPFC,IRASA,theta,WS->ESS1,61,0.1328169364206616,0.3037430772326067,ns,0.04450258292981147
L_DLPFC,IRASA,theta,WS->LSS1,61,0.681157202720453,1.620662234720004e-06,***,0.2780361952117773
L_DLPFC,IRASA,alpha1,WS->TS,61,-1.0554282437321134,1.887377457618552e-11,***,-0.3236833053713409
L_DLPFC,IRASA,alpha1,TS->ESS1,61,-1.6453712813535653,7.0256039117532e-19,***,-0.576790750197065
L_DLPFC,IRASA,alpha1,ESS1->LSS1,61,-0.16617369860305534,0.1993034651739396,ns,-0.045881094720088576
L_DLPFC,IRASA,alpha1,WS->ESS1,61,-2.475331661999014,1.8587439298045432e-27,***,-0.9004740555684058
L_DLPFC,IRASA,alpha1,WS->LSS1,61,-2.3714117978302305,1.6941727521563015e-26,***,-0.9463551502884945
L_DLPFC,IRASA,alpha2,WS->TS,61,-0.5211924222810251,0.00013920974649429398,***,-0.19442702989425123
L_DLPFC,IRASA,alpha2,TS->ESS1,61,-1.4055721682547335,5.554022954397094e-16,***,-0.5839453833651854
